Date,Dawn,Sunrise,Noon,Sunset,Dusk
2019-01-01,07:39:52,08:10:38,12:53:02,17:35:57,18:06:44
2019-01-02,07:40:01,08:10:46,12:53:30,17:36:47,18:07:31
2019-01-03,07:40:09,08:10:51,12:53:58,17:37:37,18:08:20
2019-01-04,07:40:14,08:10:54,12:54:26,17:38:30,18:09:10
2019-01-05,07:40:18,08:10:55,12:54:53,17:39:24,18:10:02
2019-01-06,07:40:19,08:10:54,12:55:20,17:40:19,18:10:54
2019-01-07,07:40:18,08:10:51,12:55:46,17:41:15,18:11:48
2019-01-08,07:40:16,08:10:45,12:56:12,17:42:12,18:12:43
2019-01-09,07:40:11,08:10:38,12:56:37,17:43:11,18:13:39
2019-01-10,07:40:04,08:10:28,12:57:02,17:44:11,18:14:35
2019-01-11,07:39:55,08:10:16,12:57:27,17:45:12,18:15:33
2019-01-12,07:39:44,08:10:02,12:57:50,17:46:14,18:16:32
2019-01-13,07:39:31,08:09:45,12:58:14,17:47:17,18:17:31
2019-01-14,07:39:16,08:09:27,12:58:36,17:48:20,18:18:32
2019-01-15,07:38:59,08:09:06,12:58:58,17:49:25,18:19:33
2019-01-16,07:38:40,08:08:43,12:59:19,17:50:30,18:20:34
2019-01-17,07:38:19,08:08:18,12:59:40,17:51:36,18:21:37
2019-01-18,07:37:56,08:07:52,13:00:00,17:52:43,18:22:40
2019-01-19,07:37:31,08:07:23,13:00:19,17:53:51,18:23:43
2019-01-20,07:37:03,08:06:51,13:00:37,17:54:59,18:24:47
2019-01-21,07:36:34,08:06:18,13:00:55,17:56:07,18:25:52
2019-01-22,07:36:03,08:05:43,13:01:12,17:57:16,18:26:57
2019-01-23,07:35:30,08:05:06,13:01:28,17:58:25,18:28:02
2019-01-24,07:34:55,08:04:27,13:01:44,17:59:35,18:29:08
2019-01-25,07:34:18,08:03:46,13:01:59,18:00:45,18:30:14
2019-01-26,07:33:40,08:03:04,13:02:12,18:01:56,18:31:21
2019-01-27,07:32:59,08:02:19,13:02:26,18:03:06,18:32:27
2019-01-28,07:32:17,08:01:32,13:02:38,18:04:17,18:33:34
2019-01-29,07:31:33,08:00:44,13:02:49,18:05:28,18:34:41
2019-01-30,07:30:47,07:59:54,13:03:00,18:06:40,18:35:48
2019-01-31,07:29:59,07:59:02,13:03:10,18:07:51,18:36:55
2019-02-01,07:29:09,07:58:09,13:03:19,18:09:02,18:38:03
2019-02-02,07:28:18,07:57:13,13:03:27,18:10:14,18:39:10
2019-02-03,07:27:25,07:56:16,13:03:34,18:11:25,18:40:17
2019-02-04,07:26:31,07:55:18,13:03:41,18:12:36,18:41:25
2019-02-05,07:25:35,07:54:18,13:03:47,18:13:48,18:42:32
2019-02-06,07:24:37,07:53:16,13:03:52,18:14:59,18:43:40
2019-02-07,07:23:37,07:52:13,13:03:56,18:16:10,18:44:47
2019-02-08,07:22:37,07:51:08,13:03:59,18:17:21,18:45:54
2019-02-09,07:21:34,07:50:02,13:04:01,18:18:32,18:47:01
2019-02-10,07:20:30,07:48:55,13:04:03,18:19:42,18:48:08
2019-02-11,07:19:25,07:47:46,13:04:04,18:20:53,18:49:15
2019-02-12,07:18:18,07:46:35,13:04:04,18:22:03,18:50:22
2019-02-13,07:17:10,07:45:24,13:04:03,18:23:13,18:51:28
2019-02-14,07:16:01,07:44:11,13:04:02,18:24:23,18:52:35
2019-02-15,07:14:50,07:42:57,13:04:00,18:25:32,18:53:41
2019-02-16,07:13:38,07:41:41,13:03:57,18:26:42,18:54:47
2019-02-17,07:12:24,07:40:25,13:03:53,18:27:50,18:55:53
2019-02-18,07:11:10,07:39:07,13:03:49,18:28:59,18:56:59
2019-02-19,07:09:54,07:37:49,13:03:44,18:30:07,18:58:04
2019-02-20,07:08:37,07:36:29,13:03:38,18:31:16,18:59:09
2019-02-21,07:07:19,07:35:08,13:03:32,18:32:23,19:00:14
2019-02-22,07:06:00,07:33:46,13:03:25,18:33:31,19:01:19
2019-02-23,07:04:40,07:32:23,13:03:17,18:34:38,19:02:24
2019-02-24,07:03:18,07:31:00,13:03:09,18:35:45,19:03:28
2019-02-25,07:01:56,07:29:35,13:03:00,18:36:51,19:04:33
2019-02-26,07:00:33,07:28:10,13:02:50,18:37:57,19:05:37
2019-02-27,06:59:09,07:26:43,13:02:40,18:39:03,19:06:41
2019-02-28,06:57:44,07:25:16,13:02:30,18:40:09,19:07:44
2019-03-01,06:56:18,07:23:49,13:02:18,18:41:14,19:08:48
2019-03-02,06:54:51,07:22:20,13:02:07,18:42:19,19:09:51
2019-03-03,06:53:23,07:20:51,13:01:55,18:43:24,19:10:54
2019-03-04,06:51:55,07:19:21,13:01:42,18:44:28,19:11:57
2019-03-05,06:50:26,07:17:50,13:01:29,18:45:32,19:13:00
2019-03-06,06:48:56,07:16:19,13:01:15,18:46:36,19:14:02
2019-03-07,06:47:26,07:14:48,13:01:01,18:47:40,19:15:05
2019-03-08,06:45:54,07:13:16,13:00:47,18:48:43,19:16:07
2019-03-09,06:44:23,07:11:43,13:00:32,18:49:46,19:17:09
2019-03-10,06:42:50,07:10:10,13:00:17,18:50:49,19:18:11
2019-03-11,06:41:17,07:08:36,13:00:02,18:51:51,19:19:13
2019-03-12,06:39:44,07:07:02,12:59:46,18:52:53,19:20:15
2019-03-13,06:38:10,07:05:28,12:59:30,18:53:55,19:21:17
2019-03-14,06:36:36,07:03:54,12:59:13,18:54:57,19:22:19
2019-03-15,06:35:01,07:02:19,12:58:57,18:55:59,19:23:20
2019-03-16,06:33:26,07:00:44,12:58:40,18:57:00,19:24:22
2019-03-17,06:31:50,06:59:08,12:58:23,18:58:02,19:25:23
2019-03-18,06:30:14,06:57:32,12:58:05,18:59:03,19:26:25
2019-03-19,06:28:38,06:55:57,12:57:48,19:00:04,19:27:26
2019-03-20,06:27:02,06:54:21,12:57:30,19:01:04,19:28:27
2019-03-21,06:25:25,06:52:45,12:57:13,19:02:05,19:29:29
2019-03-22,06:23:48,06:51:09,12:56:55,19:03:05,19:30:30
2019-03-23,06:22:11,06:49:32,12:56:37,19:04:06,19:31:32
2019-03-24,06:20:33,06:47:56,12:56:19,19:05:06,19:32:33
2019-03-25,06:18:56,06:46:20,12:56:01,19:06:06,19:33:34
2019-03-26,06:17:18,06:44:44,12:55:43,19:07:06,19:34:36
2019-03-27,06:15:41,06:43:08,12:55:25,19:08:06,19:35:37
2019-03-28,06:14:03,06:41:32,12:55:06,19:09:06,19:36:39
2019-03-29,06:12:26,06:39:56,12:54:48,19:10:06,19:37:41
2019-03-30,06:10:48,06:38:20,12:54:30,19:11:06,19:38:42
2019-03-31,06:09:10,06:36:45,12:54:12,19:12:05,19:39:44
2019-04-01,06:07:33,06:35:09,12:53:54,19:13:05,19:40:46
2019-04-02,06:05:56,06:33:34,12:53:37,19:14:05,19:41:48
2019-04-03,06:04:18,06:31:59,12:53:19,19:15:04,19:42:50
2019-04-04,06:02:41,06:30:25,12:53:01,19:16:04,19:43:53
2019-04-05,06:01:05,06:28:51,12:52:44,19:17:04,19:44:55
2019-04-06,05:59:28,06:27:17,12:52:27,19:18:03,19:45:57
2019-04-07,05:57:52,06:25:44,12:52:10,19:19:03,19:47:00
2019-04-08,05:56:16,06:24:11,12:51:53,19:20:02,19:48:03
2019-04-09,05:54:40,06:22:38,12:51:37,19:21:02,19:49:06
2019-04-10,05:53:05,06:21:06,12:51:20,19:22:02,19:50:09
2019-04-11,05:51:30,06:19:34,12:51:04,19:23:01,19:51:12
2019-04-12,05:49:55,06:18:03,12:50:48,19:24:01,19:52:15
2019-04-13,05:48:21,06:16:33,12:50:33,19:25:01,19:53:18
2019-04-14,05:46:47,06:15:03,12:50:18,19:26:01,19:54:22
2019-04-15,05:45:14,06:13:34,12:50:03,19:27:00,19:55:26
2019-04-16,05:43:42,06:12:05,12:49:48,19:28:00,19:56:30
2019-04-17,05:42:10,06:10:38,12:49:34,19:29:00,19:57:34
2019-04-18,05:40:39,06:09:10,12:49:21,19:30:00,19:58:38
2019-04-19,05:39:08,06:07:44,12:49:07,19:31:00,19:59:42
2019-04-20,05:37:38,06:06:19,12:48:54,19:32:00,20:00:46
2019-04-21,05:36:09,06:04:54,12:48:42,19:32:59,20:01:51
2019-04-22,05:34:40,06:03:30,12:48:30,19:33:59,20:02:55
2019-04-23,05:33:12,06:02:07,12:48:18,19:34:59,20:04:00
2019-04-24,05:31:45,06:00:45,12:48:07,19:35:59,20:05:05
2019-04-25,05:30:19,05:59:24,12:47:56,19:36:59,20:06:10
2019-04-26,05:28:54,05:58:03,12:47:46,19:37:59,20:07:14
2019-04-27,05:27:30,05:56:44,12:47:36,19:38:59,20:08:19
2019-04-28,05:26:07,05:55:26,12:47:27,19:39:58,20:09:24
2019-04-29,05:24:44,05:54:09,12:47:18,19:40:58,20:10:29
2019-04-30,05:23:23,05:52:53,12:47:09,19:41:58,20:11:34
2019-05-01,05:22:03,05:51:38,12:47:02,19:42:57,20:12:39
2019-05-02,05:20:44,05:50:24,12:46:54,19:43:57,20:13:44
2019-05-03,05:19:26,05:49:12,12:46:48,19:44:56,20:14:49
2019-05-04,05:18:09,05:48:01,12:46:42,19:45:55,20:15:54
2019-05-05,05:16:53,05:46:50,12:46:36,19:46:54,20:16:58
2019-05-06,05:15:39,05:45:42,12:46:31,19:47:53,20:18:03
2019-05-07,05:14:26,05:44:34,12:46:26,19:48:52,20:19:07
2019-05-08,05:13:14,05:43:28,12:46:23,19:49:50,20:20:11
2019-05-09,05:12:03,05:42:23,12:46:19,19:50:48,20:21:15
2019-05-10,05:10:54,05:41:20,12:46:16,19:51:46,20:22:18
2019-05-11,05:09:47,05:40:18,12:46:14,19:52:43,20:23:22
2019-05-12,05:08:40,05:39:18,12:46:13,19:53:41,20:24:24
2019-05-13,05:07:36,05:38:19,12:46:12,19:54:38,20:25:27
2019-05-14,05:06:32,05:37:21,12:46:11,19:55:34,20:26:29
2019-05-15,05:05:31,05:36:25,12:46:11,19:56:30,20:27:31
2019-05-16,05:04:31,05:35:31,12:46:12,19:57:26,20:28:32
2019-05-17,05:03:32,05:34:38,12:46:13,19:58:21,20:29:33
2019-05-18,05:02:35,05:33:47,12:46:15,19:59:15,20:30:33
2019-05-19,05:01:40,05:32:57,12:46:17,20:00:09,20:31:33
2019-05-20,05:00:47,05:32:09,12:46:20,20:01:03,20:32:32
2019-05-21,04:59:55,05:31:23,12:46:23,20:01:55,20:33:30
2019-05-22,04:59:05,05:30:39,12:46:27,20:02:47,20:34:27
2019-05-23,04:58:17,05:29:56,12:46:32,20:03:39,20:35:24
2019-05-24,04:57:31,05:29:15,12:46:37,20:04:30,20:36:20
2019-05-25,04:56:46,05:28:36,12:46:42,20:05:19,20:37:15
2019-05-26,04:56:04,05:27:59,12:46:48,20:06:08,20:38:09
2019-05-27,04:55:23,05:27:23,12:46:55,20:06:57,20:39:02
2019-05-28,04:54:44,05:26:49,12:47:02,20:07:44,20:39:54
2019-05-29,04:54:07,05:26:17,12:47:09,20:08:30,20:40:45
2019-05-30,04:53:33,05:25:47,12:47:17,20:09:16,20:41:35
2019-05-31,04:53:00,05:25:19,12:47:25,20:10:00,20:42:24
2019-06-01,04:52:29,05:24:53,12:47:34,20:10:43,20:43:11
2019-06-02,04:52:00,05:24:28,12:47:43,20:11:25,20:43:57
2019-06-03,04:51:34,05:24:05,12:47:53,20:12:06,20:44:42
2019-06-04,04:51:09,05:23:45,12:48:02,20:12:46,20:45:26
2019-06-05,04:50:47,05:23:26,12:48:13,20:13:25,20:46:08
2019-06-06,04:50:26,05:23:09,12:48:23,20:14:02,20:46:49
2019-06-07,04:50:08,05:22:54,12:48:34,20:14:38,20:47:28
2019-06-08,04:49:52,05:22:41,12:48:45,20:15:13,20:48:05
2019-06-09,04:49:38,05:22:30,12:48:57,20:15:46,20:48:41
2019-06-10,04:49:26,05:22:21,12:49:08,20:16:18,20:49:16
2019-06-11,04:49:16,05:22:14,12:49:20,20:16:48,20:49:49
2019-06-12,04:49:08,05:22:08,12:49:33,20:17:17,20:50:20
2019-06-13,04:49:02,05:22:05,12:49:45,20:17:44,20:50:49
2019-06-14,04:48:59,05:22:03,12:49:57,20:18:10,20:51:16
2019-06-15,04:48:57,05:22:03,12:50:10,20:18:34,20:51:42
2019-06-16,04:48:58,05:22:06,12:50:23,20:18:56,20:52:05
2019-06-17,04:49:01,05:22:10,12:50:36,20:19:17,20:52:27
2019-06-18,04:49:05,05:22:15,12:50:49,20:19:36,20:52:47
2019-06-19,04:49:12,05:22:23,12:51:02,20:19:54,20:53:05
2019-06-20,04:49:21,05:22:32,12:51:15,20:20:09,20:53:21
2019-06-21,04:49:32,05:22:44,12:51:28,20:20:23,20:53:35
2019-06-22,04:49:45,05:22:57,12:51:41,20:20:35,20:53:47
2019-06-23,04:50:00,05:23:11,12:51:54,20:20:45,20:53:57
2019-06-24,04:50:16,05:23:28,12:52:07,20:20:54,20:54:04
2019-06-25,04:50:35,05:23:46,12:52:20,20:21:00,20:54:10
2019-06-26,04:50:56,05:24:05,12:52:32,20:21:05,20:54:13
2019-06-27,04:51:18,05:24:27,12:52:45,20:21:08,20:54:15
2019-06-28,04:51:42,05:24:49,12:52:58,20:21:08,20:54:14
2019-06-29,04:52:08,05:25:14,12:53:10,20:21:07,20:54:11
2019-06-30,04:52:36,05:25:40,12:53:22,20:21:04,20:54:06
2019-07-01,04:53:06,05:26:07,12:53:34,20:20:59,20:53:59
2019-07-02,04:53:37,05:26:36,12:53:45,20:20:52,20:53:49
2019-07-03,04:54:10,05:27:06,12:53:57,20:20:44,20:53:38
2019-07-04,04:54:44,05:27:38,12:54:08,20:20:33,20:53:24
2019-07-05,04:55:20,05:28:11,12:54:18,20:20:20,20:53:08
2019-07-06,04:55:57,05:28:45,12:54:29,20:20:05,20:52:50
2019-07-07,04:56:36,05:29:21,12:54:39,20:19:49,20:52:30
2019-07-08,04:57:16,05:29:58,12:54:49,20:19:30,20:52:08
2019-07-09,04:57:58,05:30:36,12:54:58,20:19:09,20:51:43
2019-07-10,04:58:41,05:31:15,12:55:07,20:18:47,20:51:17
2019-07-11,04:59:25,05:31:55,12:55:15,20:18:22,20:50:48
2019-07-12,05:00:10,05:32:36,12:55:23,20:17:56,20:50:17
2019-07-13,05:00:57,05:33:19,12:55:31,20:17:28,20:49:45
2019-07-14,05:01:44,05:34:02,12:55:38,20:16:58,20:49:10
2019-07-15,05:02:33,05:34:46,12:55:45,20:16:25,20:48:33
2019-07-16,05:03:23,05:35:31,12:55:51,20:15:51,20:47:54
2019-07-17,05:04:14,05:36:17,12:55:57,20:15:16,20:47:14
2019-07-18,05:05:05,05:37:04,12:56:02,20:14:38,20:46:31
2019-07-19,05:05:58,05:37:51,12:56:06,20:13:59,20:45:46
2019-07-20,05:06:51,05:38:39,12:56:10,20:13:17,20:45:00
2019-07-21,05:07:45,05:39:28,12:56:14,20:12:34,20:44:11
2019-07-22,05:08:40,05:40:18,12:56:17,20:11:49,20:43:21
2019-07-23,05:09:35,05:41:08,12:56:19,20:11:03,20:42:29
2019-07-24,05:10:32,05:41:59,12:56:21,20:10:14,20:41:35
2019-07-25,05:11:28,05:42:50,12:56:22,20:09:24,20:40:40
2019-07-26,05:12:26,05:43:42,12:56:23,20:08:33,20:39:42
2019-07-27,05:13:24,05:44:34,12:56:23,20:07:39,20:38:44
2019-07-28,05:14:22,05:45:27,12:56:22,20:06:45,20:37:43
2019-07-29,05:15:21,05:46:20,12:56:21,20:05:48,20:36:41
2019-07-30,05:16:20,05:47:13,12:56:19,20:04:50,20:35:37
2019-07-31,05:17:19,05:48:07,12:56:17,20:03:50,20:34:32
2019-08-01,05:18:19,05:49:01,12:56:14,20:02:49,20:33:25
2019-08-02,05:19:19,05:49:56,12:56:10,20:01:46,20:32:16
2019-08-03,05:20:19,05:50:50,12:56:06,20:00:42,20:31:07
2019-08-04,05:21:20,05:51:45,12:56:01,19:59:37,20:29:55
2019-08-05,05:22:21,05:52:40,12:55:55,19:58:30,20:28:43
2019-08-06,05:23:22,05:53:36,12:55:49,19:57:22,20:27:29
2019-08-07,05:24:23,05:54:31,12:55:43,19:56:12,20:26:14
2019-08-08,05:25:24,05:55:27,12:55:35,19:55:01,20:24:57
2019-08-09,05:26:25,05:56:22,12:55:28,19:53:49,20:23:40
2019-08-10,05:27:27,05:57:18,12:55:19,19:52:36,20:22:21
2019-08-11,05:28:28,05:58:14,12:55:10,19:51:21,20:21:01
2019-08-12,05:29:29,05:59:10,12:55:01,19:50:05,20:19:39
2019-08-13,05:30:31,06:00:06,12:54:50,19:48:48,20:18:17
2019-08-14,05:31:32,06:01:02,12:54:40,19:47:30,20:16:54
2019-08-15,05:32:33,06:01:58,12:54:29,19:46:11,20:15:30
2019-08-16,05:33:35,06:02:55,12:54:17,19:44:51,20:14:04
2019-08-17,05:34:36,06:03:51,12:54:05,19:43:29,20:12:38
2019-08-18,05:35:37,06:04:47,12:53:52,19:42:07,20:11:11
2019-08-19,05:36:38,06:05:43,12:53:38,19:40:44,20:09:43
2019-08-20,05:37:39,06:06:39,12:53:25,19:39:20,20:08:14
2019-08-21,05:38:39,06:07:35,12:53:10,19:37:54,20:06:44
2019-08-22,05:39:40,06:08:31,12:52:56,19:36:28,20:05:13
2019-08-23,05:40:40,06:09:27,12:52:40,19:35:02,20:03:42
2019-08-24,05:41:41,06:10:23,12:52:25,19:33:34,20:02:10
2019-08-25,05:42:41,06:11:19,12:52:09,19:32:06,20:00:38
2019-08-26,05:43:41,06:12:15,12:51:52,19:30:37,19:59:04
2019-08-27,05:44:41,06:13:10,12:51:35,19:29:07,19:57:30
2019-08-28,05:45:41,06:14:06,12:51:18,19:27:36,19:55:56
2019-08-29,05:46:40,06:15:02,12:51:01,19:26:05,19:54:21
2019-08-30,05:47:39,06:15:57,12:50:43,19:24:33,19:52:45
2019-08-31,05:48:39,06:16:53,12:50:24,19:23:01,19:51:09
2019-09-01,05:49:38,06:17:48,12:50:06,19:21:28,19:49:33
2019-09-02,05:50:37,06:18:44,12:49:47,19:19:54,19:47:56
2019-09-03,05:51:35,06:19:39,12:49:28,19:18:20,19:46:18
2019-09-04,05:52:34,06:20:35,12:49:08,19:16:45,19:44:41
2019-09-05,05:53:32,06:21:30,12:48:48,19:15:10,19:43:03
2019-09-06,05:54:31,06:22:25,12:48:28,19:13:35,19:41:24
2019-09-07,05:55:29,06:23:20,12:48:08,19:11:59,19:39:46
2019-09-08,05:56:27,06:24:16,12:47:48,19:10:23,19:38:07
2019-09-09,05:57:25,06:25:11,12:47:27,19:08:46,19:36:28
2019-09-10,05:58:22,06:26:06,12:47:06,19:07:10,19:34:49
2019-09-11,05:59:20,06:27:01,12:46:45,19:05:33,19:33:09
2019-09-12,06:00:17,06:27:57,12:46:24,19:03:55,19:31:30
2019-09-13,06:01:15,06:28:52,12:46:03,19:02:18,19:29:50
2019-09-14,06:02:12,06:29:47,12:45:42,19:00:40,19:28:11
2019-09-15,06:03:09,06:30:43,12:45:21,18:59:02,19:26:31
2019-09-16,06:04:06,06:31:38,12:44:59,18:57:24,19:24:51
2019-09-17,06:05:03,06:32:34,12:44:38,18:55:46,19:23:11
2019-09-18,06:06:00,06:33:29,12:44:16,18:54:07,19:21:32
2019-09-19,06:06:57,06:34:25,12:43:55,18:52:29,19:19:52
2019-09-20,06:07:54,06:35:20,12:43:34,18:50:51,19:18:13
2019-09-21,06:08:51,06:36:16,12:43:12,18:49:12,19:16:33
2019-09-22,06:09:48,06:37:12,12:42:51,18:47:34,19:14:54
2019-09-23,06:10:45,06:38:08,12:42:30,18:45:56,19:13:15
2019-09-24,06:11:42,06:39:04,12:42:09,18:44:18,19:11:37
2019-09-25,06:12:39,06:40:01,12:41:48,18:42:40,19:09:58
2019-09-26,06:13:35,06:40:57,12:41:27,18:41:02,19:08:20
2019-09-27,06:14:32,06:41:54,12:41:06,18:39:24,19:06:42
2019-09-28,06:15:29,06:42:51,12:40:46,18:37:47,19:05:05
2019-09-29,06:16:26,06:43:48,12:40:26,18:36:10,19:03:28
2019-09-30,06:17:24,06:44:45,12:40:06,18:34:33,19:01:51
